date,price,total_volume,market_cap,coin_name
2015-01-01,313.992,46999364.089,4293958347.0,bitcoin
2015-01-02,314.446,38855906.301,4301448334.7,bitcoin
2015-01-03,286.572,118778941.409,3921358112.1,bitcoin
2015-01-04,260.936,205500148.97,3571639780.8,bitcoin
2015-01-05,273.22,155038125.456,3740880426.5,bitcoin
2015-01-06,285.374,97002895.976,3908408221.35,bitcoin
2015-01-07,295.872,110674232.979,4053238742.438,bitcoin
2015-01-08,284.452,86570544.471,3897824162.25,bitcoin
2015-01-09,289.574,83478400.277,3968992614.285,bitcoin
2015-01-10,274.533,92683835.633,3763909199.925,bitcoin
2015-01-11,267.184,73256737.911,3664201453.6,bitcoin
2015-01-12,268.354,78982214.887,3681154854.371,bitcoin
2015-01-13,221.436,215752219.922,3038251389.3,bitcoin
2015-01-14,172.148,236006920.818,2362639549.852,bitcoin
2015-01-15,210.556,257637517.29,2890521922.995,bitcoin
2015-01-16,205.816,176217465.494,2826188131.0,bitcoin
2015-01-17,199.491,106431481.131,2740019366.285,bitcoin
2015-01-18,208.989,118664232.728,2871292169.34,bitcoin
2015-01-19,214.545,105545327.338,2948379298.875,bitcoin
2015-01-20,210.514,94312137.936,2893626589.035,bitcoin
2015-01-21,224.045,99166469.199,3080429686.665,bitcoin
2015-01-22,232.042,151229886.428,3191202338.153,bitcoin
2015-01-23,232.898,126038219.212,3203686663.5,bitcoin
2015-01-24,248.096,134933345.065,3413521852.0,bitcoin
2015-01-25,253.839,142426844.889,3493324595.827,bitcoin
2015-01-26,271.288,401755946.527,3734336330.64,bitcoin
2015-01-27,259.236,339951744.744,3568728002.06,bitcoin
2015-01-29,232.533,161971565.549,3203612158.433,bitcoin
2015-01-30,228.635,105832532.605,3150704413.815,bitcoin
2015-01-31,218.023,92459195.634,3005342178.85,bitcoin
2015-02-01,226.27,100844154.335,3119897131.48,bitcoin
2015-02-02,240.019,108043831.208,3310466195.25,bitcoin
2015-02-03,226.012,135790231.889,3117998019.128,bitcoin
2015-02-04,225.308,83155505.156,3109175682.095,bitcoin
2015-02-05,216.914,74142168.014,2994172300.44,bitcoin
2015-02-06,222.487,88164946.843,3072075446.7,bitcoin
2015-02-07,227.205,80694160.195,3138151161.072,bitcoin
2015-02-08,222.906,76979240.313,3079497925.372,bitcoin
2015-02-09,220.092,79154588.475,3041547650.985,bitcoin
2015-02-10,220.649,66708973.921,3049996660.272,bitcoin
2015-02-11,219.096,65150873.754,3029418429.03,bitcoin
2015-02-12,222.04,51632481.439,3070809845.028,bitcoin
2015-02-13,235.677,137045816.226,3260249204.835,bitcoin
2015-02-14,259.009,165435433.749,3584044452.93,bitcoin
2015-02-15,232.996,199965387.662,3224923703.82,bitcoin
2015-02-16,235.92,128976204.999,3266299219.505,bitcoin
2015-02-17,242.457,121468767.543,3357729670.42,bitcoin
2015-02-18,234.624,88821471.779,3250184845.45,bitcoin
2015-02-19,240.299,71396084.825,3329826479.07,bitcoin
2015-02-20,244.082,80482172.096,3383185375.785,bitcoin
2015-02-21,244.146,64143296.2,3384954726.902,bitcoin
2015-02-22,235.553,74180476.07,3266702003.425,bitcoin
2015-02-23,238.132,61755698.927,3303312137.122,bitcoin
2015-02-24,238.731,58732103.482,3312404143.285,bitcoin
2015-02-25,237.378,57584610.055,3294575196.45,bitcoin
2015-02-26,236.171,44991044.507,3278687399.962,bitcoin
2015-02-27,253.899,137186494.712,3525782547.105,bitcoin
2015-02-28,253.599,85884430.307,3522504178.955,bitcoin
2015-03-01,257.707,58106060.444,3580465593.938,bitcoin
2015-03-02,269.961,93658288.668,3751796695.287,bitcoin
2015-03-03,280.624,128754965.9,3901083285.09,bitcoin
2015-03-04,273.019,119553919.987,3796353842.947,bitcoin
2015-03-05,274.826,98543018.352,3822334889.738,bitcoin
2015-03-06,272.341,74704492.04,3788784931.47,bitcoin
2015-03-07,275.585,50059694.676,3834877371.456,bitcoin
2015-03-08,274.578,45050575.228,3821054905.8,bitcoin
2015-03-09,289.296,111062141.126,4027806171.96,bitcoin
2015-03-10,290.306,129285347.544,4043022165.118,bitcoin
2015-03-11,295.961,73794326.122,4122115211.9,bitcoin
2015-03-12,293.92,65277495.589,4095470764.185,bitcoin
2015-03-13,288.036,67739327.349,4014523120.575,bitcoin
2015-03-14,281.489,63244191.827,3924198780.612,bitcoin
2015-03-15,285.264,32203956.619,3977863688.638,bitcoin
2015-03-16,290.096,60818266.22,4046186762.513,bitcoin
2015-03-17,284.349,50540130.748,3967004055.192,bitcoin
2015-03-18,255.606,123648767.77,3566978130.845,bitcoin
2015-03-19,260.004,133194355.063,3629235646.08,bitcoin
2015-03-20,260.908,59404464.503,3642718765.438,bitcoin
2015-03-21,259.49,54148215.135,3623906198.45,bitcoin
2015-03-22,267.798,51503307.067,3740905133.662,bitcoin
